candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,147,3.70,U.S. Senate (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,310,7.80,U.S. Senate (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,38,0.96,U.S. Senate (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,2955,74.34,U.S. Senate (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,525,13.21,U.S. Senate (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,3014,42.88,U.S. Senate (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,16,0.23,U.S. Senate (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,452,6.43,U.S. Senate (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,136,1.93,U.S. Senate (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,1329,18.91,U.S. Senate (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,14,0.20,U.S. Senate (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,7,0.10,U.S. Senate (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,12,0.17,U.S. Senate (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,57,0.81,U.S. Senate (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,14,0.20,U.S. Senate (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,9,0.13,U.S. Senate (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,1800,25.61,U.S. Senate (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,169,2.40,U.S. Senate (REPUBLICAN)
"DEHNE, DENIS ""SAM""",DEMOCRAT,285,7.97,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,1655,46.27,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,1637,45.76,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"COLLETTI, PATRICK J.",REPUBLICAN,766,11.00,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"HELLER, DEAN (Incumbent)",REPUBLICAN,6195,89.00,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,499,12.60,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,2673,67.50,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,788,19.90,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,76,1.08,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,2007,28.60,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,42,0.60,GOVERNOR (REPUBLICAN)
"MONTANDON, MICHAEL L.",REPUBLICAN,1012,14.42,GOVERNOR (REPUBLICAN)
"SANDOVAL, BRIAN",REPUBLICAN,3656,52.10,GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,224,3.19,GOVERNOR (REPUBLICAN)
"GOODMAN, ROBERT E. ""BOB""",DEMOCRAT,298,7.72,LIEUTENANT GOVERNOR (DEMOCRATIC)
"MURAD, PAUL",DEMOCRAT,714,18.49,LIEUTENANT GOVERNOR (DEMOCRATIC)
"RANDAZZO, ROBERT S.",DEMOCRAT,339,8.78,LIEUTENANT GOVERNOR (DEMOCRATIC)
"SFERRAZZA, JESSICA",DEMOCRAT,2079,53.83,LIEUTENANT GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,432,11.19,LIEUTENANT GOVERNOR (DEMOCRATIC)
"KROLICKI, BRIAN (Incumbent)",REPUBLICAN,5509,79.46,LIEUTENANT GOVERNOR (REPUBLICAN)
"WOOLLEN, BARBARA LEE",REPUBLICAN,1115,16.08,LIEUTENANT GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,309,4.46,LIEUTENANT GOVERNOR (REPUBLICAN)
"DAGANI, GREGORY NANCE",REPUBLICAN,1881,28.89,STATE CONTROLLER (REPUBLICAN)
"HERR, BARRY",REPUBLICAN,2786,42.78,STATE CONTROLLER (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,1845,28.33,STATE CONTROLLER (REPUBLICAN)
"BARRICK, TRAVIS",REPUBLICAN,2958,45.30,ATTORNEY GENERAL (REPUBLICAN)
"HAFTER, JACOB",REPUBLICAN,1936,29.65,ATTORNEY GENERAL (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,1636,25.05,ATTORNEY GENERAL (REPUBLICAN)
"SETTELMEYER, JAMES ARNOLD",REPUBLICAN,4518,83.78,"STATE SENATE, CAPITAL SENATORIAL DISTRICT (REPUBLICAN)"
"YEATER, STEVE",REPUBLICAN,875,16.22,"STATE SENATE, CAPITAL SENATORIAL DISTRICT (REPUBLICAN)"
"BAILEY, TODD",REPUBLICAN,204,16.74,"STATE SENATE, WASHOE DISTRICT 4 (REPUBLICAN)"
"COBB, TY",REPUBLICAN,415,34.04,"STATE SENATE, WASHOE DISTRICT 4 (REPUBLICAN)"
"KIECKHEFER, BEN",REPUBLICAN,460,37.74,"STATE SENATE, WASHOE DISTRICT 4 (REPUBLICAN)"
"WRIGHT, FRANK L.",REPUBLICAN,140,11.48,"STATE SENATE, WASHOE DISTRICT 4 (REPUBLICAN)"
"GLADWILL, GARY G.",REPUBLICAN,440,31.25,"STATE ASSEMBLY, DISTRICT 38 (REPUBLICAN)"
"GRADY, TOM",REPUBLICAN,968,68.75,"STATE ASSEMBLY, DISTRICT 38 (REPUBLICAN)"
"CLEMENS, AMY",REPUBLICAN,1276,24.76,"STATE ASSEMBLY, DISTRICT 40 (REPUBLICAN)"
"LIVERMORE, PETE",REPUBLICAN,2571,49.88,"STATE ASSEMBLY, DISTRICT 40 (REPUBLICAN)"
"UPTON, LYNDA",REPUBLICAN,1307,25.36,"STATE ASSEMBLY, DISTRICT 40 (REPUBLICAN)"
"GLOVER, ALAN",NONPARTISAN,10975,100.00,CLERK-RECORDER CARSON CITY - NP (NONPARTISAN)
"ROMBARDO, NEIL A.",NONPARTISAN,10474,100.00,DISTRICT ATTORNEY - CARSON CITY - NP (NONPARTISAN)
"FURLONG, KENNY",NONPARTISAN,5875,48.58,SHERIFF - CARSON CITY - NP (NONPARTISAN)
"GUIMONT, BOB",NONPARTISAN,3977,32.88,SHERIFF - CARSON CITY - NP (NONPARTISAN)
"WHITE, BOB",NONPARTISAN,2242,18.54,SHERIFF - CARSON CITY - NP (NONPARTISAN)
"KRAMER, AL",NONPARTISAN,10645,100.00,TREASURER - CARSON CITY - NP (NONPARTISAN)
"ABOWD, KAREN L.",NONPARTISAN,3567,31.16,"SUPERVISOR, WARD 1 - CARSON CITY - NP (NONPARTISAN)"
"JOINER, ROB",NONPARTISAN,2133,18.63,"SUPERVISOR, WARD 1 - CARSON CITY - NP (NONPARTISAN)"
"LEHMANN, SEAN L.",NONPARTISAN,1268,11.08,"SUPERVISOR, WARD 1 - CARSON CITY - NP (NONPARTISAN)"
"SAUCEDO, PAUL R.",NONPARTISAN,2085,18.21,"SUPERVISOR, WARD 1 - CARSON CITY - NP (NONPARTISAN)"
"SCHULZ, GARY",NONPARTISAN,835,7.29,"SUPERVISOR, WARD 1 - CARSON CITY - NP (NONPARTISAN)"
"SCOGGIN, NORMAN E.",NONPARTISAN,1560,13.63,"SUPERVISOR, WARD 1 - CARSON CITY - NP (NONPARTISAN)"
"MCKENNA, JOHN",NONPARTISAN,5253,47.96,"SUPERVISOR, WARD 3 - CARSON CITY - NP (NONPARTISAN)"
"SATTLER, MARK",NONPARTISAN,2810,25.66,"SUPERVISOR, WARD 3 - CARSON CITY - NP (NONPARTISAN)"
"WILLIAMS, DAY",NONPARTISAN,2889,26.38,"SUPERVISOR, WARD 3 - CARSON CITY - NP (NONPARTISAN)"
"BUSHNER, JULIE",NONPARTISAN,3215,29.95,SCHOOL TRUSTEE DISTRICT 1 (NONPARTISAN)
