candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,1124,52.67,UNITED STATES SENATOR
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,35,1.64,UNITED STATES SENATOR
"FASANO, TIM",INDEPENDENT AMERICAN,19,0.89,UNITED STATES SENATOR
"HAINES, MICHAEL L.",INDEPENDENT,14,0.66,UNITED STATES SENATOR
"HOLLAND, JESSE",INDEPENDENT,11,0.52,UNITED STATES SENATOR
"REEVES, JEFFREY C.",INDEPENDENT,6,0.28,UNITED STATES SENATOR
"REID, HARRY (Incumbent)",DEMOCRAT,843,39.50,UNITED STATES SENATOR
"STAND, WIL",INDEPENDENT,13,0.61,UNITED STATES SENATOR
NONE OF THESE CANDIDATES,&nbsp;,69,3.23,UNITED STATES SENATOR
"BEST, RUSSELL",INDEPENDENT AMERICAN,103,4.91,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,1383,65.98,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,610,29.10,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,22,1.03,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,35,1.65,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,26,1.22,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,7,0.33,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,14,0.66,GOVERNOR
"REID, RORY",DEMOCRAT,615,28.91,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,1355,63.70,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,53,2.49,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,114,5.39,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,1199,56.72,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,749,35.43,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,52,2.46,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,904,42.97,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,967,45.96,SECRETARY OF STATE
"WAGNER, JOHN",INDEPENDENT AMERICAN,157,7.46,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,76,3.61,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,135,6.41,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,826,39.24,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,1068,50.74,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,76,3.61,STATE TREASURER
"HERR, BARRY",REPUBLICAN,1020,48.50,STATE CONTROLLER
"MARKOWITZ, WARREN",INDEPENDENT AMERICAN,159,7.56,STATE CONTROLLER
"WALLIN, KIM R. (Incumbent)",DEMOCRAT,819,38.94,STATE CONTROLLER
NONE OF THESE CANDIDATES,&nbsp;,105,4.99,STATE CONTROLLER
"BARRICK, TRAVIS",REPUBLICAN,869,41.34,ATTORNEY GENERAL
"CORTEZ  MASTO, CATHERINE (Incumbent)",DEMOCRAT,963,45.81,ATTORNEY GENERAL
"HANSEN, JOEL F.",INDEPENDENT AMERICAN,194,9.23,ATTORNEY GENERAL
NONE OF THESE CANDIDATES,&nbsp;,76,3.62,ATTORNEY GENERAL
"QUIRK, CODY J.",INDEPENDENT AMERICAN,62,7.01,"STATE SENATE, CAPITAL SENATORIAL DISTRICT"
"RANFT, KEVIN R.",DEMOCRAT,268,30.32,"STATE SENATE, CAPITAL SENATORIAL DISTRICT"
"SETTELMEYER, JAMES ARNOLD",REPUBLICAN,554,62.67,"STATE SENATE, CAPITAL SENATORIAL DISTRICT"
"EDWARDS, ALLISON",DEMOCRAT,415,34.64,"STATE SENATE, WASHOE DISTRICT 2"
"GUSTAVSON, DON",REPUBLICAN,783,65.36,"STATE SENATE, WASHOE DISTRICT 2"
"GOMEZ, DENNIS C.",INDEPENDENT AMERICAN,570,28.66,"STATE ASSEMBLY, DISTRICT 38"
"GRADY, TOM (Incumbent)",REPUBLICAN,1419,71.34,"STATE ASSEMBLY, DISTRICT 38"
"HARDESTY, JAMES W. (Incumbent)",NONPARTISAN,1636,82.88,"SUPREME COURT JUSTICE, SEAT A"
NONE OF THESE CANDIDATES,&nbsp;,338,17.12,"SUPREME COURT JUSTICE, SEAT A"
"PARRAGUIRRE, RONALD D. (Incumbent)",NONPARTISAN,1602,81.78,"SUPREME COURT JUSTICE, SEAT E"
NONE OF THESE CANDIDATES,&nbsp;,357,18.22,"SUPREME COURT JUSTICE, SEAT E"
"DIXON, VANESSA",REPUBLICAN,1861,100.00,COUNTY CLERK/TREASURER
"GRANT, LAURA",DEMOCRAT,874,42.32,DISTRICT ATTORNEY
"MADDOX, WILLIAM A.",REPUBLICAN,1191,57.68,DISTRICT ATTORNEY
"HONEA, ANITA",REPUBLICAN,880,45.67,COUNTY ASSESSOR
"SEDDON, JANA",REPUBLICAN,1047,54.33,COUNTY ASSESSOR
"CHAPMAN, JENNIFER",REPUBLICAN,1170,57.55,COUNTY RECORDER
"JENSEN, SARAH S.",INDEPENDENT,863,42.45,COUNTY RECORDER
"PRATER, LARRY",DEMOCRAT,990,48.15,COUNTY COMM DIST. ONE (CW)
"SJOVANGEN, WILLIAM ""BILL""",REPUBLICAN,1066,51.85,COUNTY COMM DIST. ONE (CW)
"ANTINORO, GERALD",NONPARTISAN,1275,61.06,SHERIFF
"TYSON, JOHN",NONPARTISAN,813,38.94,SHERIFF
"CUDSWORTH, EDNA",NONPARTISAN,193,47.54,CANYON GEN IMP DIST SEAT 3A
"TROTTER, RALPH",NONPARTISAN,213,52.46,CANYON GEN IMP DIST SEAT 3A
"MCKENZIE, ALLEN W.",NONPARTISAN,226,56.22,CANYON GEN IMP DIST SEAT 3B
"TYLER, BRET",NONPARTISAN,176,43.78,CANYON GEN IMP DIST SEAT 3B
