candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,8173,63.56,U.S. Senate
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,372,2.89,U.S. Senate
"FASANO, TIM",INDEPENDENT AMERICAN,177,1.38,U.S. Senate
"HAINES, MICHAEL L.",INDEPENDENT,103,0.80,U.S. Senate
"HOLLAND, JESSE",INDEPENDENT,263,2.05,U.S. Senate
"REEVES, JEFFREY C.",INDEPENDENT,77,0.60,U.S. Senate
"REID, HARRY (Incumbent)",DEMOCRAT,3246,25.24,U.S. Senate
"STAND, WIL",INDEPENDENT,56,0.44,U.S. Senate
NONE OF THESE CANDIDATES,&nbsp;,392,3.05,U.S. Senate
"BEST, RUSSELL",INDEPENDENT AMERICAN,1027,8.16,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,9443,75.07,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,2109,16.77,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,99,0.77,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,159,1.24,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,394,3.07,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,71,0.55,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,102,0.80,GOVERNOR
"REID, RORY",DEMOCRAT,2194,17.10,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,9489,73.97,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,321,2.50,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,1074,8.45,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,8759,68.90,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,2423,19.06,LIEUTENANT GOVERNOR
