candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,36,6.24,U.S. Senate (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,81,14.04,U.S. Senate (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,19,3.29,U.S. Senate (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,290,50.26,U.S. Senate (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,151,26.17,U.S. Senate (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,176,30.19,U.S. Senate (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,4,0.69,U.S. Senate (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,22,3.77,U.S. Senate (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,7,1.20,U.S. Senate (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,142,24.36,U.S. Senate (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,0,0,U.S. Senate (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,3,0.51,U.S. Senate (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,1,0.17,U.S. Senate (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,4,0.69,U.S. Senate (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,1,0.17,U.S. Senate (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,0,0,U.S. Senate (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,197,33.79,U.S. Senate (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,26,4.46,U.S. Senate (REPUBLICAN)
"DEHNE, DENIS ""SAM""",DEMOCRAT,45,8.70,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,282,54.55,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,190,36.75,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"COLLETTI, PATRICK J.",REPUBLICAN,112,19.55,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"HELLER, DEAN (Incumbent)",REPUBLICAN,461,80.45,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,147,26.06,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,228,40.43,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,189,33.51,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,4,0.68,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,200,34.25,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,6,1.03,GOVERNOR (REPUBLICAN)
"MONTANDON, MICHAEL L.",REPUBLICAN,42,7.19,GOVERNOR (REPUBLICAN)
"SANDOVAL, BRIAN",REPUBLICAN,301,51.54,GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,31,5.31,GOVERNOR (REPUBLICAN)
"GOODMAN, ROBERT E. ""BOB""",DEMOCRAT,66,11.68,LIEUTENANT GOVERNOR (DEMOCRATIC)
"MURAD, PAUL",DEMOCRAT,40,7.08,LIEUTENANT GOVERNOR (DEMOCRATIC)
"RANDAZZO, ROBERT S.",DEMOCRAT,31,5.49,LIEUTENANT GOVERNOR (DEMOCRATIC)
"SFERRAZZA, JESSICA",DEMOCRAT,334,59.12,LIEUTENANT GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,94,16.64,LIEUTENANT GOVERNOR (DEMOCRATIC)
"KROLICKI, BRIAN (Incumbent)",REPUBLICAN,412,71.78,LIEUTENANT GOVERNOR (REPUBLICAN)
"WOOLLEN, BARBARA LEE",REPUBLICAN,104,18.12,LIEUTENANT GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,58,10.10,LIEUTENANT GOVERNOR (REPUBLICAN)
"DAGANI, GREGORY NANCE",REPUBLICAN,173,31.63,STATE CONTROLLER (REPUBLICAN)
"HERR, BARRY",REPUBLICAN,182,33.27,STATE CONTROLLER (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,192,35.10,STATE CONTROLLER (REPUBLICAN)
"BARRICK, TRAVIS",REPUBLICAN,228,41.83,ATTORNEY GENERAL (REPUBLICAN)
"HAFTER, JACOB",REPUBLICAN,144,26.42,ATTORNEY GENERAL (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,173,31.74,ATTORNEY GENERAL (REPUBLICAN)
"HIBBLE, RON",DEMOCRAT,299,61.65,"STATE ASSEMBLY, DISTRICT 36 (DEMOCRATIC)"
"SCHIFFMAN, HARRY J.",DEMOCRAT,186,38.35,"STATE ASSEMBLY, DISTRICT 36 (DEMOCRATIC)"
"FEEST, MARK",NONPARTISAN,200,19.18,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"MELCHER, KEVIN C.",NONPARTISAN,348,33.37,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"PUCCINELLI, MARGARET",NONPARTISAN,495,47.46,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"FERRY, CLIFF",NONPARTISAN,982,100.00,"STATE BOARD OF EDUCATION, DISTRICT 10 (NONPARTISAN)"
"GEORGE, CHERRIE A.",REPUBLICAN,357,62.30,CLERK/TREASURER (REPUBLICAN)
"GILBERT, DEBRA L.",REPUBLICAN,216,37.70,CLERK/TREASURER (REPUBLICAN)
"DEMARS, REO LYNN",NONPARTISAN,141,11.03,SHERIFF - MINERAL - NP (NONPARTISAN)
"DILLARD, MIKE",NONPARTISAN,788,61.66,SHERIFF - MINERAL - NP (NONPARTISAN)
"STROMATT, RICHARD H.",NONPARTISAN,349,27.31,SHERIFF - MINERAL - NP (NONPARTISAN)
"QUALLS, HUGH",NONPARTISAN,966,100.00,MINERAL COUNTY SCHOOL TRUSTEE SEAT INSIDE (NONPARTISAN)
"ESSENPREIS, SANDRA",NONPARTISAN,989,100.00,MINERAL COUNTY SCHOOL TRUSTEE SEAT OUTSIDE (NONPARTISAN)
