candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,66,9.79,U.S. Senate (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,177,26.26,U.S. Senate (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,42,6.23,U.S. Senate (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,211,31.31,U.S. Senate (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,178,26.41,U.S. Senate (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,271,30.25,U.S. Senate (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,1,0.11,U.S. Senate (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,136,15.18,U.S. Senate (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,49,5.47,U.S. Senate (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,239,26.67,U.S. Senate (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,0,0,U.S. Senate (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,1,0.11,U.S. Senate (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,1,0.11,U.S. Senate (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,4,0.45,U.S. Senate (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,2,0.22,U.S. Senate (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,0,0,U.S. Senate (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,177,19.75,U.S. Senate (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,15,1.67,U.S. Senate (REPUBLICAN)
"DEHNE, DENIS ""SAM""",DEMOCRAT,72,11.94,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,242,40.13,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,289,47.93,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"COLLETTI, PATRICK J.",REPUBLICAN,128,14.68,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"HELLER, DEAN (Incumbent)",REPUBLICAN,744,85.32,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,254,38.37,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,219,33.08,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,189,28.55,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,24,2.71,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,208,23.50,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,6,0.68,GOVERNOR (REPUBLICAN)
"MONTANDON, MICHAEL L.",REPUBLICAN,91,10.28,GOVERNOR (REPUBLICAN)
"SANDOVAL, BRIAN",REPUBLICAN,512,57.85,GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,44,4.97,GOVERNOR (REPUBLICAN)
"GOODMAN, ROBERT E. ""BOB""",DEMOCRAT,150,22.87,LIEUTENANT GOVERNOR (DEMOCRATIC)
"MURAD, PAUL",DEMOCRAT,76,11.59,LIEUTENANT GOVERNOR (DEMOCRATIC)
"RANDAZZO, ROBERT S.",DEMOCRAT,53,8.08,LIEUTENANT GOVERNOR (DEMOCRATIC)
"SFERRAZZA, JESSICA",DEMOCRAT,238,36.28,LIEUTENANT GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,139,21.19,LIEUTENANT GOVERNOR (DEMOCRATIC)
"KROLICKI, BRIAN (Incumbent)",REPUBLICAN,561,65.23,LIEUTENANT GOVERNOR (REPUBLICAN)
"WOOLLEN, BARBARA LEE",REPUBLICAN,191,22.21,LIEUTENANT GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,108,12.56,LIEUTENANT GOVERNOR (REPUBLICAN)
"DAGANI, GREGORY NANCE",REPUBLICAN,236,29.43,STATE CONTROLLER (REPUBLICAN)
"HERR, BARRY",REPUBLICAN,297,37.03,STATE CONTROLLER (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,269,33.54,STATE CONTROLLER (REPUBLICAN)
"BARRICK, TRAVIS",REPUBLICAN,334,41.44,ATTORNEY GENERAL (REPUBLICAN)
"HAFTER, JACOB",REPUBLICAN,227,28.16,ATTORNEY GENERAL (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,245,30.40,ATTORNEY GENERAL (REPUBLICAN)
"FEEST, MARK",NONPARTISAN,300,20.13,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"MELCHER, KEVIN C.",NONPARTISAN,400,26.85,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"PUCCINELLI, MARGARET",NONPARTISAN,790,53.02,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"FERRY, CLIFF",NONPARTISAN,1300,100.00,"STATE BOARD OF EDUCATION, DISTRICT 10 (NONPARTISAN)"
"WATTS, DAN",NONPARTISAN,1501,100.00,SHERIFF - WHITE PINE COUNTY (NONPARTISAN)
"GIANOLI, JULIE",NONPARTISAN,1427,100.00,"HOSPITAL BOARD OF TRUSTEES, SEAT 1 (NONPARTISAN)"
"CARSON, PAULA",NONPARTISAN,1378,100.00,"HOSPITAL BOARD OF TRUSTEES, SEAT 2 (NONPARTISAN)"
"LEONI, DANIEL L.",NONPARTISAN,1365,100.00,"HOSPITAL BOARD OF TRUSTEES, SEAT 4 (NONPARTISAN)"
"MANGUM, RORY L. ""PETE""",NONPARTISAN,1431,100.00,SCHOOL BOARD TRUSTEE SEAT B (NONPARTISAN)
"HUNT, LORI A.",NONPARTISAN,1424,100.00,"SCHOOL BOARD TRUSTEE, SEAT A (NONPARTISAN)"
"HIBBS, MATTHEW",NONPARTISAN,1388,100.00,"SCHOOL BOARD TRUSTEE, SEAT E (NONPARTISAN)"
"HORSLEY, RONALD",NONPARTISAN,1429,100.00,SOIL CONSERVATION SEAT AA (NONPARTISAN)
