candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,45,5.71,U.S. Senate (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,99,12.56,U.S. Senate (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,18,2.28,U.S. Senate (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,464,58.88,U.S. Senate (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,162,20.56,U.S. Senate (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,713,34.95,U.S. Senate (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,4,0.20,U.S. Senate (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,165,8.09,U.S. Senate (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,67,3.28,U.S. Senate (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,454,22.25,U.S. Senate (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,1,0.05,U.S. Senate (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,3,0.15,U.S. Senate (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,1,0.05,U.S. Senate (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,19,0.93,U.S. Senate (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,7,0.34,U.S. Senate (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,3,0.15,U.S. Senate (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,529,25.93,U.S. Senate (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,74,3.63,U.S. Senate (REPUBLICAN)
"DEHNE, DENIS ""SAM""",DEMOCRAT,84,12.16,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,305,44.14,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,302,43.70,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"COLLETTI, PATRICK J.",REPUBLICAN,387,19.32,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"HELLER, DEAN (Incumbent)",REPUBLICAN,1616,80.68,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,152,19.69,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,377,48.83,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,243,31.48,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,27,1.33,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,632,31.06,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,17,0.84,GOVERNOR (REPUBLICAN)
