candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,822,43.19,UNITED STATES SENATOR
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,36,1.89,UNITED STATES SENATOR
"FASANO, TIM",INDEPENDENT AMERICAN,30,1.58,UNITED STATES SENATOR
"HAINES, MICHAEL L.",INDEPENDENT,24,1.26,UNITED STATES SENATOR
"HOLLAND, JESSE",INDEPENDENT,20,1.05,UNITED STATES SENATOR
"REEVES, JEFFREY C.",INDEPENDENT,13,0.68,UNITED STATES SENATOR
"REID, HARRY (Incumbent)",DEMOCRAT,855,44.93,UNITED STATES SENATOR
"STAND, WIL",INDEPENDENT,17,0.89,UNITED STATES SENATOR
NONE OF THESE CANDIDATES,&nbsp;,86,4.52,UNITED STATES SENATOR
"BEST, RUSSELL",INDEPENDENT AMERICAN,99,5.36,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,1190,64.39,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,559,30.25,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,18,0.95,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,36,1.90,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,43,2.27,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,9,0.47,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,10,0.53,GOVERNOR
"REID, RORY",DEMOCRAT,556,29.31,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,1136,59.88,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,89,4.69,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,120,6.41,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,884,47.22,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,771,41.19,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,97,5.18,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,636,34.08,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,933,50.00,SECRETARY OF STATE
"WAGNER, JOHN",INDEPENDENT AMERICAN,170,9.11,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,127,6.81,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,128,6.81,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,866,46.06,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,756,40.21,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,130,6.91,STATE TREASURER
"HERR, BARRY",REPUBLICAN,703,37.73,STATE CONTROLLER
