candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,78,5.57,U.S. Senate (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,216,15.43,U.S. Senate (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,33,2.36,U.S. Senate (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,746,53.29,U.S. Senate (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,327,23.36,U.S. Senate (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,1633,42.02,U.S. Senate (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,10,0.26,U.S. Senate (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,202,5.20,U.S. Senate (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,41,1.06,U.S. Senate (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,566,14.57,U.S. Senate (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,0,0,U.S. Senate (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,3,0.08,U.S. Senate (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,7,0.18,U.S. Senate (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,96,2.47,U.S. Senate (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,13,0.33,U.S. Senate (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,4,0.10,U.S. Senate (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,1200,30.88,U.S. Senate (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,111,2.86,U.S. Senate (REPUBLICAN)
"DEHNE, DENIS ""SAM""",DEMOCRAT,112,8.70,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,672,52.17,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,504,39.13,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"COLLETTI, PATRICK J.",REPUBLICAN,559,14.58,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"HELLER, DEAN (Incumbent)",REPUBLICAN,3274,85.42,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,313,22.58,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,666,48.05,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,407,29.37,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,60,1.55,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,1280,32.97,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,69,1.78,GOVERNOR (REPUBLICAN)
"MONTANDON, MICHAEL L.",REPUBLICAN,304,7.83,GOVERNOR (REPUBLICAN)
"SANDOVAL, BRIAN",REPUBLICAN,2026,52.19,GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,143,3.68,GOVERNOR (REPUBLICAN)
"GOODMAN, ROBERT E. ""BOB""",DEMOCRAT,130,9.37,LIEUTENANT GOVERNOR (DEMOCRATIC)
"MURAD, PAUL",DEMOCRAT,160,11.54,LIEUTENANT GOVERNOR (DEMOCRATIC)
"RANDAZZO, ROBERT S.",DEMOCRAT,92,6.63,LIEUTENANT GOVERNOR (DEMOCRATIC)
"SFERRAZZA, JESSICA",DEMOCRAT,819,59.05,LIEUTENANT GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,186,13.41,LIEUTENANT GOVERNOR (DEMOCRATIC)
"KROLICKI, BRIAN (Incumbent)",REPUBLICAN,2885,75.44,LIEUTENANT GOVERNOR (REPUBLICAN)
"WOOLLEN, BARBARA LEE",REPUBLICAN,616,16.11,LIEUTENANT GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,323,8.45,LIEUTENANT GOVERNOR (REPUBLICAN)
"DAGANI, GREGORY NANCE",REPUBLICAN,1024,28.38,STATE CONTROLLER (REPUBLICAN)
"HERR, BARRY",REPUBLICAN,1363,37.78,STATE CONTROLLER (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,1221,33.84,STATE CONTROLLER (REPUBLICAN)
"BARRICK, TRAVIS",REPUBLICAN,1428,39.50,ATTORNEY GENERAL (REPUBLICAN)
"HAFTER, JACOB",REPUBLICAN,1142,31.59,ATTORNEY GENERAL (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,1045,28.91,ATTORNEY GENERAL (REPUBLICAN)
"HIBBLE, RON",DEMOCRAT,102,60.00,"STATE ASSEMBLY, DISTRICT 36 (DEMOCRATIC)"
"SCHIFFMAN, HARRY J.",DEMOCRAT,68,40.00,"STATE ASSEMBLY, DISTRICT 36 (DEMOCRATIC)"
"GLADWILL, GARY G.",REPUBLICAN,149,29.10,"STATE ASSEMBLY, DISTRICT 38 (REPUBLICAN)"
"GRADY, TOM",REPUBLICAN,363,70.90,"STATE ASSEMBLY, DISTRICT 38 (REPUBLICAN)"
"FEEST, MARK",NONPARTISAN,2330,44.22,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"MELCHER, KEVIN C.",NONPARTISAN,1168,22.17,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"PUCCINELLI, MARGARET",NONPARTISAN,1771,33.61,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"FERRY, CLIFF",NONPARTISAN,4833,100.00,"STATE BOARD OF EDUCATION, DISTRICT 10 (NONPARTISAN)"
"BIRD, BRANDON",NONPARTISAN,1444,6.88,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"GAILEY, DENNIS K.",NONPARTISAN,2237,10.66,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"GENT, RICH",NONPARTISAN,2491,11.87,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"HENDRIX, CLAY",NONPARTISAN,1695,8.08,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"HYDE, MATT",NONPARTISAN,1736,8.27,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"JOHNSON, DESTRY",NONPARTISAN,1167,5.56,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"LAMMEL, JODY",NONPARTISAN,1362,6.49,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"LUDLOW, MIKE",NONPARTISAN,1734,8.26,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"MCFARLANE, NONA",NONPARTISAN,2415,11.51,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"NELSEN, WENDY WAGNER",NONPARTISAN,1312,6.25,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"SMACK, JAMES",NONPARTISAN,1191,5.67,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"SOMMER, JACOB",NONPARTISAN,1582,7.54,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"WIDEMAN, RICH",NONPARTISAN,624,2.97,BOARD OF SCHOOL TRUSTEES - VF 4 (NONPARTISAN)
"EAST, RAY",NONPARTISAN,341,5.85,SHERIFF - CHURCHILL - NP (NONPARTISAN)
"GIOVE, TONY",NONPARTISAN,252,4.32,SHERIFF - CHURCHILL - NP (NONPARTISAN)
"INGRAM, RICHARD",NONPARTISAN,1820,31.20,SHERIFF - CHURCHILL - NP (NONPARTISAN)
"TROTTER, BENJAMIN D.",NONPARTISAN,1572,26.95,SHERIFF - CHURCHILL - NP (NONPARTISAN)
"WARD, DANIEL P.",NONPARTISAN,584,10.01,SHERIFF - CHURCHILL - NP (NONPARTISAN)
"WHITTEN, WAYNE",NONPARTISAN,1265,21.68,SHERIFF - CHURCHILL - NP (NONPARTISAN)
"CROWDER, ART",REPUBLICAN,1076,29.50,COUNTY RECORDER (REPUBLICAN)
"SIMS, JOAN",REPUBLICAN,2571,70.50,COUNTY RECORDER (REPUBLICAN)
"CROWDER, STEVE",REPUBLICAN,446,11.82,COUNTY COMM DIST. 2 (CW) (REPUBLICAN)
"OLSEN, PETE",REPUBLICAN,2646,70.11,COUNTY COMM DIST. 2 (CW) (REPUBLICAN)
"TEWELL, JOHN",REPUBLICAN,682,18.07,COUNTY COMM DIST. 2 (CW) (REPUBLICAN)
