candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,1201,63.14,UNITED STATES SENATOR
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,50,2.63,UNITED STATES SENATOR
"FASANO, TIM",INDEPENDENT AMERICAN,14,0.74,UNITED STATES SENATOR
"HAINES, MICHAEL L.",INDEPENDENT,15,0.79,UNITED STATES SENATOR
"HOLLAND, JESSE",INDEPENDENT,31,1.63,UNITED STATES SENATOR
"REEVES, JEFFREY C.",INDEPENDENT,13,0.68,UNITED STATES SENATOR
"REID, HARRY (Incumbent)",DEMOCRAT,487,25.60,UNITED STATES SENATOR
"STAND, WIL",INDEPENDENT,9,0.47,UNITED STATES SENATOR
NONE OF THESE CANDIDATES,&nbsp;,82,4.31,UNITED STATES SENATOR
"BEST, RUSSELL",INDEPENDENT AMERICAN,131,7.02,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,1429,76.62,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,305,16.35,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,20,1.05,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,28,1.48,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,33,1.74,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,12,0.63,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,16,0.84,GOVERNOR
"REID, RORY",DEMOCRAT,277,14.61,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,1449,76.42,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,61,3.22,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,134,7.13,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,1243,66.12,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,409,21.76,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,94,5.00,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,1045,55.70,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,513,27.35,SECRETARY OF STATE
