candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,105,7.01,UNITED STATES SENATOR (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,262,17.49,UNITED STATES SENATOR (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,48,3.20,UNITED STATES SENATOR (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,814,54.34,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,269,17.96,UNITED STATES SENATOR (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,1715,37.68,UNITED STATES SENATOR (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,14,0.31,UNITED STATES SENATOR (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,317,6.97,UNITED STATES SENATOR (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,102,2.24,UNITED STATES SENATOR (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,1321,29.03,UNITED STATES SENATOR (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,8,0.18,UNITED STATES SENATOR (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,6,0.13,UNITED STATES SENATOR (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,9,0.20,UNITED STATES SENATOR (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,27,0.59,UNITED STATES SENATOR (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,14,0.31,UNITED STATES SENATOR (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,9,0.20,UNITED STATES SENATOR (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,865,19.01,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,144,3.16,UNITED STATES SENATOR (REPUBLICAN)
"DEHNE, DENIS ""SAM""",DEMOCRAT,106,7.99,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,482,36.35,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,738,55.66,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"COLLETTI, PATRICK J.",REPUBLICAN,650,14.42,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"HELLER, DEAN (Incumbent)",REPUBLICAN,3859,85.58,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,356,24.15,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,753,51.09,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,365,24.76,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,91,2.00,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,1342,29.51,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,59,1.30,GOVERNOR (REPUBLICAN)
"MONTANDON, MICHAEL L.",REPUBLICAN,439,9.65,GOVERNOR (REPUBLICAN)
"SANDOVAL, BRIAN",REPUBLICAN,2435,53.55,GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,181,3.98,GOVERNOR (REPUBLICAN)
"GOODMAN, ROBERT E. ""BOB""",DEMOCRAT,217,14.98,LIEUTENANT GOVERNOR (DEMOCRATIC)
"MURAD, PAUL",DEMOCRAT,235,16.22,LIEUTENANT GOVERNOR (DEMOCRATIC)
"RANDAZZO, ROBERT S.",DEMOCRAT,136,9.39,LIEUTENANT GOVERNOR (DEMOCRATIC)
"SFERRAZZA, JESSICA",DEMOCRAT,565,38.99,LIEUTENANT GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,296,20.43,LIEUTENANT GOVERNOR (DEMOCRATIC)
"KROLICKI, BRIAN (Incumbent)",REPUBLICAN,2943,65.81,LIEUTENANT GOVERNOR (REPUBLICAN)
"WOOLLEN, BARBARA LEE",REPUBLICAN,1042,23.30,LIEUTENANT GOVERNOR (REPUBLICAN)
