county,precinct,office,candidate,votes,district
Carson City,101,Attorney General,Travis Barrick,185,
Carson City,101,Attorney General,Catherine Cortez Masto,333,
Carson City,101,Attorney General,Joel Hansen,52,
Carson City,101,Attorney General,None Of These Candidates,21,
Carson City,101,Governor,David Curtis,1,
Carson City,101,Governor,Eugene Disimone,8,
Carson City,101,Governor,Floyd Fitzgibbons,10,
Carson City,101,Governor,Aaron Honig,1,
Carson City,101,Governor,Lampitt Arthur Forest,6,
Carson City,101,Governor,None Of These Candidates,17,
Carson City,101,Governor,Rory Reid,232,
Carson City,101,Governor,Brian Sandoval,326,
Carson City,101,State House,Pete Livermore,256,40
Carson City,101,State House,Robin Williamson,334,40
Carson City,101,State Senate,Cody Quirk,35,
Carson City,101,State Senate,Kevin Ranft,238,
Carson City,101,State Senate,James Settelmeyer,314,
Carson City,101,U.S. House,Russell Best,23,2
Carson City,101,U.S. House,Dean Heller,339,2
Carson City,101,U.S. House,Nancy Price,225,2
Carson City,101,U.S. Senate,Sharron Angle,226,
Carson City,101,U.S. Senate,Scott Ashjian,15,
Carson City,101,U.S. Senate,Tim Fasano,5,
Carson City,101,U.S. Senate,Michael Haines,1,
Carson City,101,U.S. Senate,Jesse Holland,6,
Carson City,101,U.S. Senate,None Of These Candidates,32,
Carson City,101,U.S. Senate,Jeffrey Reeves,1,
Carson City,101,U.S. Senate,Harry Reid,313,
Carson City,101,U.S. Senate,Wil Stand,3,
Carson City,103,Attorney General,Travis Barrick,283,
Carson City,103,Attorney General,Catherine Cortez Masto,461,
Carson City,103,Attorney General,Joel Hansen,74,
Carson City,103,Attorney General,None Of These Candidates,29,
Carson City,103,Governor,David Curtis,6,
Carson City,103,Governor,Eugene Disimone,9,
Carson City,103,Governor,Floyd Fitzgibbons,3,
Carson City,103,Governor,Aaron Honig,1,
Carson City,103,Governor,Lampitt Arthur Forest,4,
Carson City,103,Governor,None Of These Candidates,21,
Carson City,103,Governor,Rory Reid,305,
Carson City,103,Governor,Brian Sandoval,509,
Carson City,103,State House,Pete Livermore,428,40
Carson City,103,State House,Robin Williamson,413,40
Carson City,103,State Senate,Cody Quirk,28,
Carson City,103,State Senate,Kevin Ranft,293,
Carson City,103,State Senate,James Settelmeyer,520,
Carson City,103,U.S. House,Russell Best,17,2
Carson City,103,U.S. House,Dean Heller,555,2
Carson City,103,U.S. House,Nancy Price,272,2
Carson City,103,U.S. Senate,Sharron Angle,394,
Carson City,103,U.S. Senate,Scott Ashjian,6,
Carson City,103,U.S. Senate,Tim Fasano,7,
Carson City,103,U.S. Senate,Michael Haines,4,
Carson City,103,U.S. Senate,Jesse Holland,2,
Carson City,103,U.S. Senate,None Of These Candidates,37,
Carson City,103,U.S. Senate,Jeffrey Reeves,1,
Carson City,103,U.S. Senate,Harry Reid,405,
Carson City,103,U.S. Senate,Wil Stand,2,
Carson City,105,Attorney General,Travis Barrick,387,
Carson City,105,Attorney General,Catherine Cortez Masto,424,
Carson City,105,Attorney General,Joel Hansen,73,
Carson City,105,Attorney General,None Of These Candidates,24,
Carson City,105,Governor,David Curtis,2,
Carson City,105,Governor,Eugene Disimone,8,
Carson City,105,Governor,Floyd Fitzgibbons,3,
Carson City,105,Governor,Aaron Honig,0,
Carson City,105,Governor,Lampitt Arthur Forest,4,
Carson City,105,Governor,None Of These Candidates,17,
Carson City,105,Governor,Rory Reid,217,
Carson City,105,Governor,Brian Sandoval,659,
Carson City,105,State House,Pete Livermore,561,40
Carson City,105,State House,Robin Williamson,335,40
Carson City,105,State Senate,Cody Quirk,23,
Carson City,105,State Senate,Kevin Ranft,227,
Carson City,105,State Senate,James Settelmeyer,648,
Carson City,105,U.S. House,Russell Best,15,2
Carson City,105,U.S. House,Dean Heller,676,2
Carson City,105,U.S. House,Nancy Price,209,2
Carson City,105,U.S. Senate,Sharron Angle,565,
Carson City,105,U.S. Senate,Scott Ashjian,4,
Carson City,105,U.S. Senate,Tim Fasano,1,
Carson City,105,U.S. Senate,Michael Haines,3,
Carson City,105,U.S. Senate,Jesse Holland,0,
Carson City,105,U.S. Senate,None Of These Candidates,30,
Carson City,105,U.S. Senate,Jeffrey Reeves,1,
Carson City,105,U.S. Senate,Harry Reid,309,
Carson City,105,U.S. Senate,Wil Stand,0,
Carson City,107,Attorney General,Travis Barrick,492,
Carson City,107,Attorney General,Catherine Cortez Masto,419,
Carson City,107,Attorney General,Joel Hansen,64,
Carson City,107,Attorney General,None Of These Candidates,27,
Carson City,107,Governor,David Curtis,3,
Carson City,107,Governor,Eugene Disimone,5,
Carson City,107,Governor,Floyd Fitzgibbons,6,
Carson City,107,Governor,Aaron Honig,0,
Carson City,107,Governor,Lampitt Arthur Forest,3,
Carson City,107,Governor,None Of These Candidates,23,
Carson City,107,Governor,Rory Reid,258,
Carson City,107,Governor,Brian Sandoval,716,
Carson City,107,State House,Pete Livermore,595,40
