precinct,office,candidate,votes,jurisdiction
AMARGOSA VLY 06,United States Senator (Democratic),"Berkley, Shelley",13,Nye
AMARGOSA VLY 06,United States Senator (Democratic),"Brown, Steve",0,Nye
AMARGOSA VLY 06,United States Senator (Democratic),"Ellsworth, Barry",4,Nye
AMARGOSA VLY 06,United States Senator (Democratic),"Macias, Louis",0,Nye
AMARGOSA VLY 06,United States Senator (Democratic),None Of These Candidates,5,Nye
AMARGOSA VLY 06,United States Senator (Democratic),"Price, Nancy",7,Nye
BEATTY 01,United States Senator (Democratic),"Berkley, Shelley",31,Nye
BEATTY 01,United States Senator (Democratic),"Brown, Steve",6,Nye
BEATTY 01,United States Senator (Democratic),"Ellsworth, Barry",3,Nye
BEATTY 01,United States Senator (Democratic),"Macias, Louis",0,Nye
BEATTY 01,United States Senator (Democratic),None Of These Candidates,5,Nye
BEATTY 01,United States Senator (Democratic),"Price, Nancy",2,Nye
DUCKWATER 03,United States Senator (Democratic),"Berkley, Shelley",5,Nye
DUCKWATER 03,United States Senator (Democratic),"Brown, Steve",3,Nye
DUCKWATER 03,United States Senator (Democratic),"Ellsworth, Barry",1,Nye
DUCKWATER 03,United States Senator (Democratic),"Macias, Louis",0,Nye
DUCKWATER 03,United States Senator (Democratic),None Of These Candidates,0,Nye
DUCKWATER 03,United States Senator (Democratic),"Price, Nancy",5,Nye
FORTY BAR 18,United States Senator (Democratic),"Berkley, Shelley",8,Nye
FORTY BAR 18,United States Senator (Democratic),"Brown, Steve",0,Nye
FORTY BAR 18,United States Senator (Democratic),"Ellsworth, Barry",0,Nye
FORTY BAR 18,United States Senator (Democratic),"Macias, Louis",0,Nye
FORTY BAR 18,United States Senator (Democratic),None Of These Candidates,1,Nye
FORTY BAR 18,United States Senator (Democratic),"Price, Nancy",2,Nye
GABBS 04,United States Senator (Democratic),"Berkley, Shelley",11,Nye
GABBS 04,United States Senator (Democratic),"Brown, Steve",4,Nye
GABBS 04,United States Senator (Democratic),"Ellsworth, Barry",3,Nye
GABBS 04,United States Senator (Democratic),"Macias, Louis",1,Nye
GABBS 04,United States Senator (Democratic),None Of These Candidates,9,Nye
GABBS 04,United States Senator (Democratic),"Price, Nancy",5,Nye
PAHRUMP 09,United States Senator (Democratic),"Berkley, Shelley",65,Nye
PAHRUMP 09,United States Senator (Democratic),"Brown, Steve",6,Nye
PAHRUMP 09,United States Senator (Democratic),"Ellsworth, Barry",5,Nye
PAHRUMP 09,United States Senator (Democratic),"Macias, Louis",1,Nye
PAHRUMP 09,United States Senator (Democratic),None Of These Candidates,9,Nye
PAHRUMP 09,United States Senator (Democratic),"Price, Nancy",8,Nye
PAHRUMP 10,United States Senator (Democratic),"Berkley, Shelley",29,Nye
PAHRUMP 10,United States Senator (Democratic),"Brown, Steve",3,Nye
PAHRUMP 10,United States Senator (Democratic),"Ellsworth, Barry",1,Nye
PAHRUMP 10,United States Senator (Democratic),"Macias, Louis",1,Nye
PAHRUMP 10,United States Senator (Democratic),None Of These Candidates,4,Nye
PAHRUMP 10,United States Senator (Democratic),"Price, Nancy",7,Nye
PAHRUMP 11,United States Senator (Democratic),"Berkley, Shelley",56,Nye
PAHRUMP 11,United States Senator (Democratic),"Brown, Steve",3,Nye
PAHRUMP 11,United States Senator (Democratic),"Ellsworth, Barry",3,Nye
PAHRUMP 11,United States Senator (Democratic),"Macias, Louis",1,Nye
