county,office,district,candidate,votes
Carson City,President,,Donald Trump,13125
Carson City,President,,Darrell Castle,153
Carson City,President,,None Of These Candidates,909
Carson City,President,,Gary Johnson,1159
Carson City,President,,Hillary Clinton,9610
Carson City,President,,Roque De La Fuente,60
Carson City,State House,40,Al Kramer,14114
Carson City,State House,40,Michael Greedy,7981
Carson City,State House,40,John Wagner,1785
Carson City,U.S. House,2,H.D. Evans,8445
Carson City,U.S. House,2,Mark Amodei,14592
Carson City,U.S. House,2,John Everhart,677
Carson City,U.S. House,2,Drew Knight,548
Carson City,U.S. Senate,,Joe Heck,13027
Carson City,U.S. Senate,,Catherine Cortez Masto,9741
Carson City,U.S. Senate,,None Of These Candidates,895
Carson City,U.S. Senate,,Tom Jones,448
Carson City,U.S. Senate,,Tony Gumina,201
Carson City,U.S. Senate,,Thomas Sawyer,358
Carson City,U.S. Senate,,Jarrod Williams,156
Churchill,President,,Donald Trump,7827
Churchill,President,,Darrell Castle,92
Churchill,President,,None Of These Candidates,331
Churchill,President,,Gary Johnson,450
Churchill,President,,Hillary Clinton,2210
Churchill,President,,Roque De La Fuente,25
Churchill,State House,38,Justin Smith,462
Churchill,State House,38,George Dini,2100
Churchill,State House,38,Wendy Cochran,397
Churchill,State House,38,Robin Titus,7616
Churchill,U.S. House,2,H.D. Evans,1983
Churchill,U.S. House,2,Mark Amodei,8032
Churchill,U.S. House,2,John Everhart,388
Churchill,U.S. House,2,Drew Knight,259
Churchill,U.S. Senate,,Joe Heck,7709
Churchill,U.S. Senate,,Catherine Cortez Masto,2240
Churchill,U.S. Senate,,None Of These Candidates,352
Churchill,U.S. Senate,,Tom Jones,246
Churchill,U.S. Senate,,Tony Gumina,95
Churchill,U.S. Senate,,Thomas Sawyer,192
Churchill,U.S. Senate,,Jarrod Williams,58
Clark,President,,Gary Johnson,22448
Clark,President,,Donald Trump,319938
Clark,President,,None Of These Candidates,17482
Clark,President,,Roque De La Fuente,1720
Clark,President,,Hillary Clinton,402172
Clark,President,,Darrell Castle,3210
Clark,State House,1,Howard Brean,11214
Clark,State House,1,Daniele Monroe-Moreno,16473
Clark,State House,2,Owen Carver,14159
Clark,State House,2,John Hambrick,16688
Clark,State House,3,Araujo Nelson,14491
Clark,State House,4,Richard Mcarthur,16279
Clark,State House,4,John Piro,15026
Clark,State House,5,Brittney Miller,12666
Clark,State House,5,Artemus Ham,12311
Clark,State House,6,Ii Mccurdy William,12224
Clark,State House,6,Carlo Maffatt,1785
Clark,State House,7,Dina Neal,15065
Clark,State House,7,Jennifer Fawzy,5608
Clark,State House,8,Jason Frierson,12060
Clark,State House,8,John Moore,1464
Clark,State House,8,Norm Ross,7978
Clark,State House,9,David Gardner,12257
Clark,State House,9,Steve Yeager,15177
Clark,State House,10,Shelly Shelton,6271
Clark,State House,10,Chris Brooks,10907
Clark,State House,11,Olivia Diaz,9019
Clark,State House,12,James Ohrenschall,13942
Clark,State House,12,Mark Riggins,10401
Clark,State House,12,Troy Warren,1064
Clark,State House,13,Paul Anderson,23865
Clark,State House,14,Melody Howard,4615
Clark,State House,14,Maggie Carlton,11269
Clark,State House,15,Elliot Anderson,12014
Clark,State House,15,Stan Vaughan,5072
Clark,State House,16,Heidi Swank,10664
Clark,State House,16,Edmund Uehling,3284
Clark,State House,17,Ronald Newsome,8325
Clark,State House,17,Tyrone Thompson,15480
Clark,State House,18,Richard Carrillo,13401
Clark,State House,18,Christine Decorte,7539
Clark,State House,19,Chris Edwards,19369
Clark,State House,20,Carol Linton,8807
Clark,State House,20,Ellen Spiegel,13548
Clark,State House,21,Ozzie Fumo,13373
Clark,State House,21,Derek Armstrong,12158
Clark,State House,22,Keith Pickard,19433
Clark,State House,22,Luis Aguirre-Insua,13770
Clark,State House,23,Craig Jordahl,12174
Clark,State House,23,Melissa Woodbury,24675
Clark,State House,28,Edgar Flores,9200
Clark,State House,28,Wesley Cornwell,2561
Clark,State House,29,Lesley Cohen,14475
Clark,State House,29,Stephen Silberkraus,14263
Clark,State House,34,Matt Williams,10444
Clark,State House,34,Shannon Bilbray-Axelrod,14788
Clark,State House,35,Justin Watkins,16700
Clark,State House,35,Brent Jones,13996
Clark,State House,36,James Oscarson,6370
Clark,State House,36,Dennis Hof,3086
Clark,State House,37,Jim Marchant,16070
Clark,State House,37,Sean Lyttle,14557
Clark,State House,41,Sandra Jauregui,13801
Clark,State House,41,Nick Phillips,12118
Clark,State House,42,Howard Scheff,6305
Clark,State House,42,Irene Bustamante Adams,10963
Clark,State Senate,1,Arsen Ter-Petrosyan,17785
Clark,State Senate,1,Patricia Spearman,33680
Clark,State Senate,3,Jonathan Friedrich,2888
Clark,State Senate,3,Segerblom,21189
Clark,State Senate,3,Dennis Palmerston,11052
Clark,State Senate,4,Kelvin Atkinson,29906
Clark,State Senate,5,Carrie Buck,25739
Clark,State Senate,5,Tim Hagan,2784
Clark,State Senate,5,Joyce Woodhouse,26208
Clark,State Senate,6,Victoria Seaman,27681
Clark,State Senate,6,Nicole Cannizzaro,28729
Clark,State Senate,7,Kimberly Schjang,12454
Clark,State Senate,7,David Parks,28431
Clark,State Senate,11,Aaron Ford,22439
Clark,State Senate,11,Lesley Chan,2229
Clark,State Senate,11,Jon Frazier,14221
Clark,State Senate,18,Alexander Marks,26849
Clark,State Senate,18,Scott Hammond,34772
Clark,State Senate,19,Janine Hansen,3384
Clark,State Senate,19,Pete Goicoechea,6031
Clark,U.S. House,1,Dina Titus,116530
Clark,U.S. House,1,Mary Perry,54171
Clark,U.S. House,1,Kamau Bakari,3744
Clark,U.S. House,1,Reuben D'Silva,13896
Clark,U.S. House,3,Jacky Rosen,146843
Clark,U.S. House,3,David Goossen,9564
Clark,U.S. House,3,Warren Markowitz,11600
Clark,U.S. House,3,Danny Tarkanian,142900
Clark,U.S. House,4,Steve Brown,8863
Clark,U.S. House,4,Mike Little,6487
Clark,U.S. House,4,Cresent Hardy,97580
Clark,U.S. House,4,Ruben Kihuen,121677
Clark,U.S. Senate,,Jarrod Williams,4830
Clark,U.S. Senate,,Tom Jones,11303
Clark,U.S. Senate,,Thomas Sawyer,9356
Clark,U.S. Senate,,Joe Heck,303623
Clark,U.S. Senate,,None Of These Candidates,29844
Clark,U.S. Senate,,Catherine Cortez Masto,386121
Clark,U.S. Senate,,Tony Gumina,7983
Douglas,President,,Donald Trump,17411
Douglas,President,,Darrell Castle,108
Douglas,President,,None Of These Candidates,854
Douglas,President,,Gary Johnson,1004
Douglas,President,,Hillary Clinton,8450
Douglas,President,,Roque De La Fuente,50
Douglas,State House,39,Jim Wheeler,21503
Douglas,U.S. House,2,H.D. Evans,7359
Douglas,U.S. House,2,Mark Amodei,18551
Douglas,U.S. House,2,John Everhart,550
Douglas,U.S. House,2,Drew Knight,393
Douglas,U.S. Senate,,Joe Heck,17584
Douglas,U.S. Senate,,Catherine Cortez Masto,8407
Douglas,U.S. Senate,,Jarrod Williams,101
Douglas,U.S. Senate,,None Of These Candidates,766
Douglas,U.S. Senate,,Tom Jones,350
Douglas,U.S. Senate,,Tony Gumina,153
Douglas,U.S. Senate,,Thomas Sawyer,282
Elko,President,,Donald Trump,13550
Elko,President,,Darrell Castle,187
Elko,President,,None Of These Candidates,528
Elko,President,,Gary Johnson,828
Elko,President,,Hillary Clinton,3401
Elko,President,,Roque De La Fuente,64
Elko,State House,33,John Ellison,16221
Elko,State Senate,19,Janine Hansen,3174
Elko,State Senate,19,Pete Goicoechea,14616
Elko,U.S. House,2,H.D. Evans,3168
Elko,U.S. House,2,Mark Amodei,13600
Elko,U.S. House,2,John Everhart,782
Elko,U.S. House,2,Drew Knight,407
Elko,U.S. Senate,,Joe Heck,13462
Elko,U.S. Senate,,Catherine Cortez Masto,3199
